156...\ModelLib\Samples\7 - Copy - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

52...\ModelLib\Samples\1(2) - Copy - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

0...\ModelLib\Samples\0 - Copy (2) - Copy - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

1...\ModelLib\Samples\0 - Copy (2) - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

104...\ModelLib\Samples\4 - Copy - Copy (2).png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

2...\ModelLib\Samples\0 - Copy (2).png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

4...\ModelLib\Samples\0 - Copy (3).png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

53...\ModelLib\Samples\1(2) - Copy - Copy.png 0: 0.05752511; 1: 0.6256502; 2: 0.0010341078; 3: 1.4114224E-05; 4: 0.04761724; 5: 0.00478368; 6: 0.00048148228; 7: 0.25456434; 8: 0.0076930625; 9: 0.0006366833; 

105...\ModelLib\Samples\4 - Copy - Copy (3).png 0: 8.173846E-18; 1: 4.567768E-09; 2: 4.8877884E-15; 3: 3.3149176E-14; 4: 0.99659014; 5: 6.759045E-09; 6: 1.3182087E-12; 7: 6.408257E-10; 8: 4.775971E-10; 9: 0.003409885; 

157...\ModelLib\Samples\7 - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

5...\ModelLib\Samples\0 - Copy (4) - Copy.png 0: 0.8930005; 1: 8.3385277E-07; 2: 1.2207527E-06; 3: 0.05549281; 4: 7.63338E-06; 5: 0.0125531405; 6: 0.00059062784; 7: 2.9661405E-06; 8: 0.024248164; 9: 0.0141021395; 

